,Pyrocosm1Neg_N1_T1,Pyrocosm1Neg_N2_T1,Pyrocosm1Neg_N3_T1,Pyrocosm1Neg_N4_T1,Pyrocosm1Neg_N1_T2,Pyrocosm1Neg_N2_T2,Pyrocosm1Neg_N3_T2,Pyrocosm1Neg_N4_T2,Pyrocosm1_F1_T1,Pyrocosm1_F2_T1,Pyrocosm1_F4_T1,Pyrocosm1_F1_T2,Pyrocosm1_F2_T2,Pyrocosm1_F3_T2,Pyrocosm1_F4_T2,Pyrocosm2_F3_T1,Pyrocosm2_F4_T1,Pyrocosm2_F1_T2,Pyrocosm2_F2_T2,Pyrocosm2_F3_T2,Pyrocosm2_F1_T3,Pyrocosm2_F2_T3,Pyrocosm2_F3_T3,Pyrocosm2_F4_T3,taxonomy,species
OTU_498,0,1,0,3,0,5,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__Dothideomycetes sp,Dothideomycetes sp
OTU_392,0,0,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__Dothideomycetes sp,Dothideomycetes sp
OTU_516,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__Dothideomycetes sp,Dothideomycetes sp
OTU_850,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__Dothideomycetes sp,Dothideomycetes sp
OTU_2125,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__Dothideomycetes sp,Dothideomycetes sp
OTU_22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__Dothideomycetes sp 11147,Dothideomycetes sp 11147
OTU_407,2,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__Dothideomycetes sp genotype 932 JMUR_2014,Dothideomycetes sp genotype 932 JMUR_2014
OTU_905,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Venturiales; f__Sympoventuriaceae; g__unidentified; s__Sympoventuriaceae sp,Sympoventuriaceae sp
OTU_557,3,5,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Venturiales; f__unidentified; g__unidentified; s__Venturiales sp,Venturiales sp
OTU_53,41,38,0,62,41,34,98,205,4,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Venturiales; f__Venturiaceae; g__unidentified; s__Venturiaceae sp,Venturiaceae sp
OTU_342,5,0,0,2,0,0,10,3,4,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Venturiales; f__Venturiaceae; g__unidentified; s__Venturiaceae sp,Venturiaceae sp
OTU_479,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Venturiales; f__Venturiaceae; g__unidentified; s__Venturiaceae sp,Venturiaceae sp
OTU_586,0,0,0,0,1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Venturiales; f__Venturiaceae; g__unidentified; s__Venturiaceae sp,Venturiaceae sp
OTU_872,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Venturiales; f__Venturiaceae; g__unidentified; s__Venturiaceae sp,Venturiaceae sp
OTU_1352,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Venturiales; f__Venturiaceae; g__unidentified; s__Venturiaceae sp,Venturiaceae sp
OTU_1008,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Ascosphaerales; f__Ascosphaeraceae; g__Ascosphaera; s__Ascosphaera fusiformis,Ascosphaera fusiformis
OTU_504,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Chaetothyriaceae; g__Ceramothyrium; s__Ceramothyrium carniolicum,Ceramothyrium carniolicum
OTU_166,2,8,0,9,22,9,6,4,6,0,2,15,0,0,0,0,1,0,0,0,0,0,0,3,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Capronia; s__Capronia peltigerae,Capronia peltigerae
OTU_362,0,0,0,6,3,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Capronia; s__Capronia sp,Capronia sp
